Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
KTR Systems Danmark ApS,"Vejlsøvej 51, 8600 Silkeborg",Silkeborg,02.06.2020,1.0,Mikro,Anpartsselskab,41401125,40.0,1504000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRMASTER A/S,"Industrivej 59, 9600 Aars",Vesthimmerland,04.05.2006,144.0,Mellemstor,Aktieselskab,29527393,1.0,252311000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nilatek ApS,"Messevej 12 A, 9600 Aars",Vesthimmerland,01.09.2022,2.0,Mikro,Anpartsselskab,43481797,40.0,2935000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ib Brix Olsen Holding ApS,"Østerbrogade 91, 4800 Nykøbing F",Guldborgsund,16.04.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36714387,50.0,-6000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cliin Robotics ApS,"Rosenkæret 14, 2860 Søborg",Gladsaxe,23.02.2014,17.0,Lille,Anpartsselskab,35673989,117.0,5992000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEPPES MASKINVÆRKSTED A/S,"Holmsland Klitvej 72, 6950 Ringkøbing",Ringkøbing-Skjern,02.11.1989,Ikke oplyst,Ikke oplyst,Aktieselskab,13754535,1.0,-172000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KONECRANES DEMAG A/S,"Roskildevej 342 B, 2630 Taastrup",Høje-Taastrup,01.06.1971,59.0,Mellemstor,Aktieselskab,49106912,1.501,59620000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watopi Domestic ApS,"Smaragdvej 11, 8700 Horsens",Horsens,23.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41319607,170.0,-400000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK. Ventilation ApS,"Skivevej 113, 9500 Hobro",Mariagerfjord,04.10.2021,2.0,Mikro,Anpartsselskab,42728381,40.0,1189000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Kina ApS,"Jørgen Hansens Vej 1, 6670 Holsted",Vejen,14.01.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36491442,50.0,-6000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORFRIG EQUIPMENT ApS,"Dunkerquegade 9 2 tv, 2150 Nordhavn",København,23.03.2005,2.0,Mikro,Anpartsselskab,28515774,125.0,687000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ GRUPPEN ApS,"Mørkebjergvej 1, 5600 Faaborg",Faaborg-Midtfyn,22.08.1985,12.0,Lille,Anpartsselskab,78618914,200.0,8550000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYSK VANDRENSNING A/S,"Jyllandsvej 49, 7330 Brande",Ikast-Brande,27.06.1996,9.0,Mikro,Aktieselskab,19423492,660.0,4742000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHM PRODUKTION ApS,"Egelund 1, 6340 Kruså",Aabenraa,11.04.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35832394,50.0,-14000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Systems ApS,"Bødkervej 22, 4300 Holbæk",Holbæk,20.11.2017,7.0,Mikro,Anpartsselskab,39100967,40.0,2050000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRITEC MASKINTEKNIK A/S,"Værkstedsvej 18, 4600 Køge",Køge,28.12.1982,13.0,Lille,Aktieselskab,70239914,750.0,19127000.0,DKK,2023.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IME Technology ApS,"Søvang 8, 2970 Hørsholm",Hørsholm,27.01.2020,5.0,Mikro,Anpartsselskab,41144203,40.0,2383000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWT ALTERNATIVE WIND TECHNOLOGY ApS,"Gl. Feggesundvej 134, 7742 Vesløs",Thisted,01.06.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25447549,125.0,5799000.0,DKK,2023.0,0,0,28,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScandiTools A/S,"Gummersmarkvej 7 A, 4632 Bjæverskov",Køge,29.09.2017,3.0,Mikro,Aktieselskab,38978349,500.0,1815000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.E.T. ApS,"Pilagervej 9, 4200 Slagelse",Slagelse,25.08.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37006963,50.0,-4000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSVALD JENSEN MEKANISK ETABLISSEMENT A/S,"Literbuen 16 D, 2740 Skovlunde",Ballerup,13.12.1988,19.0,Lille,Aktieselskab,12601298,500.0,2508000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EGA-TEKNIK ApS,"Walgerholm 9, 3500 Værløse",Furesø,01.11.2006,3.0,Mikro,Anpartsselskab,29787034,125.0,956000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIWI MASKINER ApS,"Priorsvej 15, 8600 Silkeborg",Silkeborg,04.03.2009,3.0,Mikro,Anpartsselskab,32072747,250.0,1181000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRUER KLEINSMEDIE A/S,"Fabriksvej 7, 7600 Struer",Struer,03.07.1995,20.0,Lille,Aktieselskab,18671735,500.0,3581000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MacGregor Denmark A/S,"Smedeholm 11 A st, 2730 Herlev",Herlev,29.12.1983,8.0,Mikro,Aktieselskab,73452228,1.6,12439000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB&CO - TEKNIK ApS,"Baldersbuen 57, 2640 Hedehusene",Høje-Taastrup,14.11.2005,Ikke oplyst,Ikke oplyst,Anpartsselskab,29177996,126.0,106000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaj's CNC ApS,"Ringmarken 2, 4652 Hårlev",Stevns,02.01.2019,1.0,Mikro,Anpartsselskab,40153780,50.0,261000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MØLLEBYGGERNE ApS,"Strandhovedvej 26, 4654 Faxe Ladeplads",Faxe,06.06.2000,1.0,Mikro,Anpartsselskab,25472691,125.0,314000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cogitec ApS,"Mosevænget 30, 8920 Randers NV",Randers,22.08.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38876724,50.0,-76000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bendiksen ApS,"Nørrevænget 15, 5672 Broby",Faaborg-Midtfyn,13.09.2017,5.0,Mikro,Anpartsselskab,38940236,50.0,3598000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuman ApS,"Hans Bekkevolds Alle 2 B, 2900 Hellerup",Gentofte,23.05.2022,4.0,Mikro,Anpartsselskab,43285866,40.0,1667000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP TIGNOLOGY ApS,"Smedevænget 8, 9560 Hadsund",Mariagerfjord,21.01.2003,3.0,Mikro,Anpartsselskab,10120322,125.0,1411000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hovedgård Maskinhandel ApS,"Vestergade 22, 8732 Hovedgård",Horsens,01.01.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38329898,50.0,-18000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASTED ApS,"Bygmarken 7-17, 3520 Farum",Furesø,16.09.1986,559.0,Stor,Anpartsselskab,10422345,320.0,204603000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BREINHOLT SERVICE & MONTAGE ApS,"Guldagervej 6 B, 8350 Hundslund",Odder,29.05.2009,40.0,Lille,Anpartsselskab,32158749,125.0,19993000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QRS A/S,"Damsbovej 19 A, 5492 Vissenbjerg",Assens,20.04.2005,40.0,Lille,Aktieselskab,28686420,501.0,27462000.0,DKK,2024.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Much More Water A/S,"Stærkendevej 43, 4000 Roskilde",Roskilde,01.11.2001,2.0,Mikro,Aktieselskab,26302676,625.0,1121000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selskabet Lynge Holding ApS,"Skovbyvej 5, 7080 Børkop",Vejle,12.06.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39642107,50.0,-8000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robotize ApS,"Maglebjergvej 5, 2800 Kongens Lyngby",Lyngby-Taarbæk,09.11.2015,30.0,Lille,Anpartsselskab,37222941,1.532,8887000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tighten By Elongation ApS,"Lysholt Allé 8, 7100 Vejle",Vejle,22.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41487917,40.0,-15000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOBOTS company ApS,"Lind Hansens Vej 13 H, 5000 Odense C",Odense,24.01.2023,15.0,Lille,Anpartsselskab,43798529,358.0,2203000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bipa Gastro A/S,"Slettensvej 175, 5270 Odense N",Odense,02.02.2018,Ikke oplyst,Ikke oplyst,Aktieselskab,39305895,400.0,141000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP Montage ApS,"Wesselsvej 12, 4760 Vordingborg",Vordingborg,26.06.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40666974,40.0,-5000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYMA ApS,"Industrivænget 19, 4622 Havdrup",Solrød,25.03.2004,11.0,Lille,Anpartsselskab,27666000,125.0,3113000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danish Seed Processing A/S,"Industrivej 26 A, 5750 Ringe",Faaborg-Midtfyn,28.01.2022,6.0,Mikro,Aktieselskab,43018205,400.0,6717000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FM Bulk Handling A/S,"Fabriksvej 14, 7800 Skive",Skive,21.03.1974,52.0,Mellemstor,Aktieselskab,48576710,500.0,30535000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unibaler A/S,"Rømersvej 20, 7430 Ikast",Ikast-Brande,15.09.2014,4.0,Mikro,Aktieselskab,36089822,720.0,73000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scansteel foodtech A/S,"Industrivej 6, 4200 Slagelse",Slagelse,01.02.1985,89.0,Mellemstor,Aktieselskab,77118012,505.0,55335000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nord Modules A/S,"Hollufgårdsvej 31, 5260 Odense S",Odense,03.05.2017,26.0,Lille,Aktieselskab,38616196,4.132,4136000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENH ENGINEERING A/S,"Jellingvej 15, 9230 Svenstrup J",Aalborg,01.01.1989,25.0,Lille,Aktieselskab,12795939,500.0,13405000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hjortekær Danmark ApS,"Lyngby Hovedgade 26 B 3 tv, 2800 Kongens Lyngby",Lyngby-Taarbæk,17.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43337246,60.0,-442000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM-INDUSTRITEKNIK A/S,"Birketvej 13, 4941 Bandholm",Lolland,01.09.1991,15.0,Lille,Aktieselskab,15501596,1.0,15211000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LETECH MACHINES A/S,"Valbyvej 64, 4200 Slagelse",Slagelse,27.05.2002,9.0,Mikro,Aktieselskab,26637228,500.0,9122000.0,DKK,2024.0,1,1,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anticimex Innovation Center A/S,"Skovgårdsvej 23 E, 3200 Helsinge",Gribskov,07.03.2007,89.0,Mellemstor,Aktieselskab,30350766,1.399,42087000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.A.S ApS,"Kagstrupvej 2, 4160 Herlufmagle",Næstved,22.10.2007,3.0,Mikro,Anpartsselskab,31075491,125.0,3118000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEE SMEDE- OG MASKINFORRETNING ApS. HEE,"Hovervej 53, 6950 Ringkøbing",Ringkøbing-Skjern,28.06.1977,7.0,Mikro,Anpartsselskab,81880115,200.0,2843000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bug-Innovation ApS,"Ny Harløsevej 27, 3320 Skævinge",Hillerød,28.08.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39817322,40.0,454000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMITECH A/S,"Fristrupvej 162-164, 9440 Aabybro",Jammerbugt,12.06.1998,33.0,Lille,Aktieselskab,20935677,750.0,19775000.0,DKK,2023.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larsen Ejendomme Gilleleje ApS,"Østre Alle 95 B, 3250 Gilleleje",Gribskov,26.10.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39972778,50.0,231000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
michann-tools ApS,"Hegnet 1, 5700 Svendborg",Svendborg,19.06.2002,1.0,Mikro,Anpartsselskab,26661455,135.0,248000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S.E.W. NORTH FILTRATION A/S,"Europavej 11, 4930 Maribo",Lolland,26.01.2011,42.0,Lille,Aktieselskab,33492871,500.0,33164000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ECOTECK A/S,"Kirkegårdsvej 1 C, 9500 Hobro",Mariagerfjord,30.10.2006,11.0,Lille,Aktieselskab,29795924,500.0,3767000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FARMER PRODUCTS ApS,"Granlidevej 22, 9600 Aars",Vesthimmerland,08.10.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33243170,80.0,-5000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLOBAL GRAVITY ApS,"Lillebæltsvej 37, 6715 Esbjerg N",Esbjerg,23.09.2011,10.0,Lille,Anpartsselskab,33950705,200.0,28250000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIEBUHR GEARS A/S,"La Cours Vej 8, 7430 Ikast",Ikast-Brande,29.06.1982,128.0,Mellemstor,Aktieselskab,71150712,1.0,31764000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A.H.K. SERVICE & SUPPORT ApS,"Nøkkerosevej 6, 8240 Risskov",Århus,20.11.2000,1.0,Mikro,Anpartsselskab,10054761,125.0,288000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEAK BIOTECH A/S,"Bøgeskovvej 18 A, 3490 Kvistgård",Helsingør,11.07.2005,5.0,Mikro,Aktieselskab,28892152,600.0,22439000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNDS JERN- OG METALVAREFABRIK ApS,"Thorupvej 40, 7451 Sunds",Herning,22.12.1975,Ikke oplyst,Ikke oplyst,Anpartsselskab,33675712,125.0,,nan,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upteko ApS,"Ørstedsvej 10, 8660 Skanderborg",Skanderborg,22.08.2018,20.0,Lille,Anpartsselskab,39816466,166.0,7551000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB TEKNIK BORUP A/S,"Bækgårdsvej 47, 4140 Borup",Køge,02.11.1987,28.0,Lille,Aktieselskab,11576494,500.0,9706000.0,DKK,2024.0,1,0,28,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FALCON SPIDER LIFTS ApS,"Tolderlundsvej 106, 5000 Odense C",Odense,24.08.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33873301,1.0,-8000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEELTEC ODENSE ApS,"Kratholmvej 36, 5260 Odense S",Odense,01.01.1999,26.0,Lille,Anpartsselskab,24233510,125.0,12409000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
