Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
Corrilit ApS,"Rønnebærvej 12, 7130 Juelsminde",Hedensted,17.09.2020,1.0,Mikro,Anpartsselskab,41714808,40.0,285000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HVIDBJERG VINDUET A/S,"Østergade 24, 7790 Thyholm",Struer,01.01.1993,178.0,Mellemstor,Aktieselskab,17010344,5.0,41339000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UNIWRAP A/S,"Jens Juuls Vej 32, 8260 Viby J",Århus,15.05.1981,31.0,Lille,Aktieselskab,14639349,1.0,10660000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDVEST-PLAST ApS,"Karetmagervej 7, 7700 Thisted",Thisted,16.05.2008,2.0,Mikro,Anpartsselskab,31470498,300.0,647000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K 3 PRODUCTION ApS,"Spangsbjerg Alle 21, 8800 Viborg",Viborg,26.06.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,20967005,126.0,122000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salling Plast Energy ApS,"Idrætsvej 22, 9681 Ranum",Vesthimmerland,05.09.2022,56.0,Mellemstor,Anpartsselskab,43490230,40.0,32321000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKILTESTEDET ApS,"Mådevej 19, 6700 Esbjerg",Esbjerg,17.08.2005,17.0,Lille,Anpartsselskab,28977115,125.0,5834000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VENTISOL A/S,"Nordre Ringvej 9, 9760 Vrå",Hjørring,16.08.1982,22.0,Lille,Aktieselskab,69169910,500.0,11872000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DANIA PLAST A/S,"Fabriksvej 10, 7800 Skive",Skive,29.06.1990,66.0,Mellemstor,Aktieselskab,14324836,5.0,41826000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C2 Production ApS,"Emil Neckelmanns Vej 5, 5220 Odense SØ",Odense,25.11.2021,1.0,Mikro,Anpartsselskab,42878898,40.0,108000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISOFORM HOLDING ApS,"Lynnerupvej 12, 9600 Aars",Vesthimmerland,20.06.1995,Ikke oplyst,Ikke oplyst,Anpartsselskab,18760908,300.0,-14000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IDE-PRO SKIVE A/S,"Skyttevej 15, 7800 Skive",Skive,01.02.1994,245.0,Mellemstor,Aktieselskab,17607839,500.0,112104000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TOMMERUP VINDUET A/S,"Kirkebjerg 15, 5690 Tommerup",Assens,22.06.1990,3.0,Mikro,Aktieselskab,14354247,510.0,1515000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KASTRUP A/S,"Mosebyvej 40, 7500 Holstebro",Holstebro,20.06.2000,250.0,Stor,Aktieselskab,25473434,3.0,44384000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
