Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
RØNNEBÆK SMEDE- & MASKINFORRETNING ApS,"Bystævnet 5, 4700 Næstved",Næstved,30.06.2003,1.0,Mikro,Anpartsselskab,27242529,125.0,507000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staub Montage ApS,"Rugtoften 85, 6630 Rødding",Vejen,09.06.2017,1.0,Mikro,Anpartsselskab,38700758,40.0,653000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MP Motor og Marina ApS,"Sensommervej 65, 8600 Silkeborg",Silkeborg,22.03.2016,2.0,Mikro,Anpartsselskab,37557579,40.0,1309000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIPO ApS,"Bakken 71, 7441 Bording",Ikast-Brande,01.01.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,20680474,125.0,455000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBS WEARPARTS A/S,"Skelbyvej 149, 4171 Glumsø",Næstved,29.04.2009,8.0,Mikro,Aktieselskab,32142079,500.0,11954000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRCHHEINER ApS,"Nørremarksvej 80, 6270 Tønder",Tønder,29.05.2008,19.0,Lille,Anpartsselskab,31475791,138.0,10806000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTCON ENGINERING ApS,"Gøngehusvej 118, 2950 Vedbæk",Rudersdal,21.12.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,28317484,125.0,0.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TECHMECH ApS,"Lagunen 5, 9700 Brønderslev",Brønderslev-Dronninglund,10.02.2015,1.0,Mikro,Anpartsselskab,36555912,50.0,374000.0,DKK,2024.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J.L. HYDRAULIK & INDUSTRISERVICE A/S,"Rørgangen 10, 2690 Karlslunde",Greve,26.02.2003,17.0,Lille,Aktieselskab,27048072,500.0,15944000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloch Svejs & Montage ApS,"Rostedvej 12, 4200 Slagelse",Slagelse,12.04.2023,1.0,Mikro,Anpartsselskab,43976923,40.0,246000.0,DKK,2023.0,0,0,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
