Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
LEDlight Danmark A/S,"Rørvangsvej 43 A, 4300 Holbæk",Holbæk,27.08.2009,17.0,Lille,Aktieselskab,32439101,510.0,10973000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MDT A/S,"Industrivej 5, 6000 Kolding",Kolding,30.06.2008,14.0,Lille,Aktieselskab,31588073,500.0,23382000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS TRADING ODENSE A/S,"Thorsgade 5 st th, 5000 Odense C",Odense,15.12.2007,Ikke oplyst,Ikke oplyst,Aktieselskab,30517679,500.0,60000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LIGHTZONE ApS,"Folehaven 147, 2500 Valby",København,09.06.2010,2.0,Mikro,Anpartsselskab,32948065,80.0,23000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LED-Mark ITS ApS,"Bygaden 76, 5953 Tranekær",Langeland,04.04.2008,2.0,Mikro,Anpartsselskab,31424267,50.0,480000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarA ApS,"Herstedvang 10, 2620 Albertslund",Albertslund,12.11.2019,28.0,Lille,Anpartsselskab,40934499,40.0,20918000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Datoselskabet CV af november 2024 A/S,"Finlandsgade 25 A, 8200 Aarhus N",Århus,23.06.2006,22.0,Lille,Aktieselskab,27525202,1.347,9925000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Balance Holding ApS,"Enkehøj 10, 7330 Brande",Ikast-Brande,24.02.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43088432,40.0,-12000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DASPOS INTERNATIONAL ApS,"Gammel Klausdalsbrovej 495, 2730 Herlev",Herlev,09.04.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35212388,80.0,170000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLP STENSTRUP ApS,"Assensvej 210 B, 5771 Stenstrup",Svendborg,13.03.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31325684,125.0,-11000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nerve Smart Systems A/S,"Langebjergvænget 19 A, 4000 Roskilde",Roskilde,27.10.2016,15.0,Lille,Aktieselskab,38137271,1.962,-1736000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nordic Spot ApS,"Thorsvej 13, 4100 Ringsted",Ringsted,01.12.2020,1.0,Mikro,Anpartsselskab,41899867,40.0,6000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MØLLER & JENSEN ApS,"Virkelyst 9, 9400 Nørresundby",Aalborg,05.11.2009,10.0,Lille,Anpartsselskab,32560873,125.0,6386000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RIse & Shine Denmark ApS,"Fredericiagade 21 B, 7100 Vejle",Vejle,08.09.2020,1.0,Mikro,Anpartsselskab,41672579,54.0,-59000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kastoft Design ApS,"A.P. Møllers Allé 55, 2791 Dragør",Tårnby,03.02.2022,1.0,Mikro,Anpartsselskab,43029428,80.0,-141000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TransElectro ApS,"Vestvejen 3, 9560 Hadsund",Mariagerfjord,28.05.2018,2.0,Mikro,Anpartsselskab,39600234,50.0,1473000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VANDVAGT ApS,"Sejlhøjvej 3, 7700 Thisted",Thisted,05.03.1999,9.0,Mikro,Anpartsselskab,21629995,125.0,3272000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L3D ApS,"Galionsvej 37, 1437 København K",København,02.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41408820,40.0,-3000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZenSati Production ApS,"Bomose Alle 9, 3200 Helsinge",Gribskov,25.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42785903,40.0,-8000.0,DKK,2024.0,0,0,27,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN-E-MARINE ApS,"Bastrupvej 10, 3540 Lynge",Allerød,03.02.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34222576,80.0,113000.0,DKK,2024.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flux A/S,"Industrivangen 5, 4550 Asnæs",Odsherred,30.06.1983,56.0,Mellemstor,Aktieselskab,73297710,2.1,30375000.0,DKK,2024.0,1,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRI SIGN SOLUTION A/S,"Brolæggervej 10, 6710 Esbjerg V",Esbjerg,01.02.1990,14.0,Lille,Aktieselskab,13965579,510.0,17551000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
